Submission,max_depth,min_samples_split,min_samples_leaf
1,5,2,1
2,10,5,2
3,15,3,3
4,7,4,1
5,20,6,5
6,6,2,4
7,12,7,2
8,8,3,3
9,18,5,1
10,4,8,6
11,13,9,7
12,14,4,2
13,9,2,1
14,17,6,4
15,5,3,3
16,16,8,2
17,11,5,5
18,19,7,3
19,15,9,1
20,10,3,4
50,25,2,1
51,30,5,2
52,28,3,1
53,26,4,2
54,27,3,1
76,20,10,3
77,20,9,2
78,20,8,3
79,20,7,4
80,20,6,5
81,20,5,6
82,20,4,7
83,20,3,8
84,20,2,9
85,20,10,4
86,20,9,5
87,20,8,6
88,20,7,7
89,20,6,8
90,20,5,9
91,20,4,2
92,20,3,3
93,20,2,4
94,20,10,5
95,20,9,6
96,20,8,7
97,20,7,8
98,20,6,9
100,20,9,3
101,20,8,2
102,20,7,4
103,20,6,5
104,20,5,6
105,20,4,7
106,20,3,8
107,20,2,9
108,20,7,2
109,20,6,3
110,20,5,4
21,6,2,6
22,8,4,5
23,7,6,3
24,12,7,4
55,20,3,2
56,20,5,1
57,20,4,3
58,20,6,2
59,20,7,1
60,20,8,3
61,20,9,1
62,20,10,2
63,20,4,4
64,20,5,5
65,20,6,6
66,20,7,7
67,20,8,4
68,20,3,5
69,20,2,6
70,20,5,2
71,20,9,3
72,20,4,6
73,20,3,4
74,20,6,5
75,20,7,2
