Submission,n_neighbors,weights,p
1,5,uniform,2
2,3,distance,2
3,10,uniform,1
4,7,distance,1
5,15,uniform,2
6,8,distance,1
7,4,uniform,2
8,6,distance,2
9,12,uniform,1
10,9,distance,1
11,11,uniform,2
12,13,distance,1
13,15,uniform,1
14,14,distance,2
15,16,uniform,2
16,12,distance,1
17,18,uniform,1
18,20,distance,2
19,19,uniform,2
20,17,distance,1
21,25,uniform,2
22,22,distance,1
23,23,uniform,1
24,24,distance,2
25,26,uniform,2
26,30,distance,1
27,28,uniform,1
28,27,distance,2
29,29,uniform,2
30,31,distance,1
31,32,uniform,2
32,33,distance,1
33,34,uniform,1
34,35,distance,2
35,36,uniform,2
36,37,distance,1
37,38,uniform,1
38,39,distance,2
39,40,uniform,2
40,41,distance,1
41,42,uniform,1
42,43,distance,2
43,44,uniform,2
44,45,distance,1
45,46,uniform,1
46,47,distance,2
47,48,uniform,2
48,49,distance,1
49,50,uniform,1
50,51,distance,2
51,52,uniform,2
52,53,distance,1
53,54,uniform,1
54,55,distance,2
55,56,uniform,2
31,32,uniform,2
32,33,distance,1
33,34,uniform,1
34,35,distance,2
35,36,uniform,2
36,37,distance,1
37,38,uniform,1
38,39,distance,2
39,40,uniform,2
40,41,distance,1
41,42,uniform,1
42,43,distance,2
43,44,uniform,2
44,45,distance,1
45,46,uniform,1
46,47,distance,2
47,48,uniform,2
48,49,distance,1
49,50,uniform,1
50,51,distance,2
51,52,uniform,2
52,53,distance,1
53,54,uniform,1
54,55,distance,2
55,56,uniform,2
